lag_bins,acf,white_noise_95_band,acf_physically_relevant_analytic,shuffle_95_band,acf_physically_relevant_shuffle
267,9.890732995720905e-06,0.009134080456134,False,1.9653245181132386e-07,True
268,9.910365471392807e-06,0.009134080456134,False,1.9935863426314664e-07,True
269,9.991156480462278e-06,0.009134080456134,False,1.9984615734505903e-07,True
270,9.898366429283889e-06,0.009134080456134,False,2.1771476399382275e-07,True
271,9.799907027183913e-06,0.009134080456134,False,1.9271679877168656e-07,True
272,1.0002496813604608e-05,0.009134080456134,False,2.0425783727881388e-07,True
273,9.88613251736719e-06,0.009134080456134,False,1.8921704179214287e-07,True
274,9.886210567459565e-06,0.009134080456134,False,2.1589954408987878e-07,True
275,9.979617878499554e-06,0.009134080456134,False,1.7416151789834802e-07,True
276,1.0042524913739482e-05,0.009134080456134,False,1.8820782389074594e-07,True
277,9.936220210885449e-06,0.009134080456134,False,2.1019330728427777e-07,True
278,9.899862196471043e-06,0.009134080456134,False,1.8564632405543566e-07,True
279,9.922983096562164e-06,0.009134080456134,False,2.0104435583837953e-07,True
280,9.920773502670257e-06,0.009134080456134,False,1.8778081412711346e-07,True
281,9.994199100696253e-06,0.009134080456134,False,1.774709671990474e-07,True
282,9.947497909499736e-06,0.009134080456134,False,1.9507273654419507e-07,True
283,9.88684593694935e-06,0.009134080456134,False,1.9416226082537472e-07,True
284,9.955856918566093e-06,0.009134080456134,False,1.9446811530128524e-07,True
285,9.93769257798846e-06,0.009134080456134,False,1.899197255028057e-07,True
286,9.88585126274241e-06,0.009134080456134,False,1.92418763827861e-07,True
287,9.896878402103076e-06,0.009134080456134,False,2.02696828952834e-07,True
288,9.877461613739328e-06,0.009134080456134,False,1.9446596486771984e-07,True
289,9.859661933566136e-06,0.009134080456134,False,1.8067469507046454e-07,True
290,1.0021449577804653e-05,0.009134080456134,False,1.6881103666642836e-07,True
291,9.79220321363635e-06,0.009134080456134,False,2.1537546381171267e-07,True
292,9.99694862975027e-06,0.009134080456134,False,2.0813014361582423e-07,True
293,9.888349650419106e-06,0.009134080456134,False,1.9129134107811434e-07,True
294,9.920481862852505e-06,0.009134080456134,False,1.9646330955488195e-07,True
295,9.984740608377646e-06,0.009134080456134,False,1.7831532074864884e-07,True
296,9.820804134937961e-06,0.009134080456134,False,1.9616955391627983e-07,True
297,9.965986723900392e-06,0.009134080456134,False,1.9227863892827276e-07,True
298,9.937223997571561e-06,0.009134080456134,False,1.8331883230213012e-07,True
299,9.920902962473117e-06,0.009134080456134,False,2.1846225267747082e-07,True
300,1.0042030548254945e-05,0.009134080456134,False,2.17315723407508e-07,True
301,9.974022358134432e-06,0.009134080456134,False,2.0817681428783973e-07,True
302,9.960104494803636e-06,0.009134080456134,False,1.9557870423041114e-07,True
303,9.891142293001306e-06,0.009134080456134,False,1.9627799434389028e-07,True
304,9.9393673126017e-06,0.009134080456134,False,1.995393334173572e-07,True
305,9.993518446683493e-06,0.009134080456134,False,1.9961203071070535e-07,True
306,9.895069598725123e-06,0.009134080456134,False,1.9533927255270105e-07,True
307,9.868388556955402e-06,0.009134080456134,False,1.8902287496830438e-07,True
308,9.853290043300414e-06,0.009134080456134,False,1.9729920084758308e-07,True
309,9.888587067059383e-06,0.009134080456134,False,2.2439786210581657e-07,True
310,9.846488745878872e-06,0.009134080456134,False,1.8720639367193656e-07,True
311,9.842586489831892e-06,0.009134080456134,False,1.8601523531242217e-07,True
312,9.981218304157613e-06,0.009134080456134,False,2.0392849230323481e-07,True
313,1.0023452189603413e-05,0.009134080456134,False,1.6193580494339658e-07,True
314,1.0024664488850607e-05,0.009134080456134,False,1.8635284815271266e-07,True
315,9.915843990837561e-06,0.009134080456134,False,2.0499876818692085e-07,True
